"property_id","title","avg_rating","description","category_id","price_per_night","availability_status","no_of_rooms","no_of_beds","no_of_bedrooms","accomodation_limit","check_in_time","check_out_time","pet_permit","smoking_permit","cancellation_policy","host_id","address","city","state","country","pincode","latitude","longitude"
"1000000030","Cityscape Studio","4.40","A studio with panoramic views of the city",1,"5000.00","Available",1,1,1,2,"10:00","09:00",False,False,"Flexible","HST0000017","1616, Skyline Lane","Bangalore","Karnataka","India","560001","12.971600","77.594600"
"1000000026","Hilltop Chalet","4.90","A cozy chalet nestled atop the hills",2,"10000.00","Available",2,2,1,4,"12:00","10:00",True,False,"Flexible","HST0000021","1212, Hillside Avenue","Shimla","Himachal Pradesh","India","171001","31.104800","77.173400"
"1000000041","Riverside Retreat","4.70","A serene retreat along the river banks",4,"13000.00","Available",4,3,2,7,"12:30","10:30",True,False,"Flexible","HST0000021","2727, Riverfront Drive","Rishikesh","Uttarakhand","India","249201","30.086900","78.267600"
"1000000027","Lakefront Retreat","4.70","A tranquil retreat with stunning lake views",3,"15000.00","Available",3,3,2,6,"13:00","11:00",True,True,"Moderate","HST0000019","1313, Lakeside Lane","Nainital","Uttarakhand","India","263001","29.380500","79.463000"
"1000000028","Beachfront Apartment","4.50","An apartment with direct access to the beach",1,"8000.00","Available",2,1,1,3,"12:00","10:00",True,False,"Flexible","HST0000018","1414, Seaside Avenue","Puducherry","Puducherry","India","605001","11.913900","79.814500"
"1000000002","Tranquil Villa","4.80","A serene villa surrounded by nature",3,"15000.00","Available",4,4,3,8,"14:00","11:00",False,True,"Moderate","HST0000002","456, Park Avenue","Mumbai","Maharashtra","India","400001","19.076000","72.877700"
"1000000004","Cozy Cottage","4.70","A cozy cottage nestled in the hills",2,"8000.00","Available",3,2,2,5,"12:30","10:30",True,False,"Flexible","HST0000004","101, Hillside Drive","Shimla","Himachal Pradesh","India","171001","31.104800","77.173400"
"1000000006","Luxury Condo","4.90","A luxurious condominium with stunning views",4,"20000.00","Available",5,5,4,10,"15:00","12:00",True,False,"Strict","HST0000006","789, Ocean Drive","Chennai","Tamil Nadu","India","600001","13.082700","80.270700"
"1000000036","Lakeview Lodge","4.80","A charming lodge with beautiful lake views",4,"9500.00","Available",3,3,2,6,"13:00","11:00",False,True,"Moderate","HST0000016","2222, Lakeview Lane","Nainital","Uttarakhand","India","263001","29.380500","79.463000"
"1000000025","Seaside Villa","4.80","A luxurious villa with breathtaking sea views",3,"25000.00","Available",6,4,4,10,"15:00","11:00",False,True,"Strict","HST0000025","1111, Beachside Drive","Goa","Goa","India","403001","15.299300","74.124000"
"1000000051","Peaceful Retreat","4.30","A peaceful retreat for solo travelers",5,"1650.00","Available",1,1,1,2,"12:30","10:30",False,False,"Flexible","HST0000021","808, Serenity Street","Munnar","Kerala","India","685612","10.088900","77.059500"
"1000000015","Riverfront Retreat","4.70","A tranquil retreat with stunning river views",4,"16000.00","Available",4,3,3,8,"13:00","11:00",True,False,"Moderate","HST0000015","101, Riverside Lane","Rishikesh","Uttarakhand","India","249201","30.086900","78.267600"
"1000000007","City View Apartment","4.40","An apartment with a stunning view of the city skyline",1,"4500.00","Available",2,2,1,4,"12:00","10:00",True,False,"Moderate","HST0000007","456, Downtown Avenue","Delhi","Delhi","India","110001","28.704100","77.102500"
"1000000043","Cozy Single Room","4.50","A cozy single room with all necessary amenities",5,"2500.00","Available",1,1,1,2,"11:00","10:00",False,False,"Flexible","HST0000023","2929, Comfort Lane","Mysore","Karnataka","India","570001","12.295800","76.639400"
"1000000018","City Center Studio","4.30","A modern studio in the heart of the city",1,"3000.00","Available",1,1,1,2,"10:00","09:00",False,False,"Strict","HST0000018","404, Downtown Street","Bangalore","Karnataka","India","560001","12.971600","77.594600"
"1000000017","Rustic Cabin","4.50","A cozy cabin surrounded by nature",2,"6000.00","Available",1,1,1,2,"11:00","10:00",True,False,"Flexible","HST0000017","303, Woodland Avenue","Coorg","Karnataka","India","571201","12.337500","75.806900"
"1000000035","Hillside Hideaway","4.70","A secluded hideaway nestled in the hills",3,"11000.00","Available",2,2,1,4,"12:00","10:00",True,False,"Flexible","HST0000015","2121, Hillside Road","Shimla","Himachal Pradesh","India","171001","31.104800","77.173400"
"1000000038","Cityscape Loft","4.50","A loft with panoramic views of the city skyline",1,"7500.00","Available",1,1,1,2,"10:00","09:00",True,False,"Flexible","HST0000018","2424, Skyline Road","Bangalore","Karnataka","India","560001","12.971600","77.594600"
"1000000046","Solo Haven","4.30","A haven for solo travelers seeking comfort",5,"1800.00","Available",1,1,1,2,"11:30","10:30",False,False,"Strict","HST0000020","303, Solitude Lane","Pushkar","Rajasthan","India","305022","26.487500","74.556300"
"1000000033","Seaview Apartment","4.60","An apartment with stunning sea views",1,"8500.00","Available",2,2,1,4,"12:00","10:00",True,False,"Flexible","HST0000013","1919, Ocean Drive","Mumbai","Maharashtra","India","400001","19.076000","72.877700"
"1000000001","Urban Apartment","4.50","A modern apartment in the city center",1,"5000.00","Available",2,2,1,4,"12:00","10:00",True,False,"Flexible","HST0000001","123, Main Street","Bangalore","Karnataka","India","560001","12.971600","77.594600"
"1000000039","Mountain Chalet","4.90","A cozy chalet with breathtaking mountain views",2,"10500.00","Available",3,3,2,6,"13:00","11:00",True,True,"Strict","HST0000019","2525, Mountainview Drive","Darjeeling","West Bengal","India","734101","27.036000","88.262700"
"1000000022","Tranquil Retreat","4.90","A tranquil retreat amidst lush greenery",3,"15000.00","Available",3,3,2,6,"14:00","11:00",False,True,"Moderate","HST0000022","808, Peaceful Street","Munnar","Kerala","India","685612","10.088900","77.059500"
"1000000020","Lakeview Mansion","4.80","A luxurious mansion with stunning views of the lake",3,"28000.00","Available",5,5,4,10,"15:00","12:00",False,False,"Flexible","HST0000020","606, Lakeview Drive","Udaipur","Rajasthan","India","313001","24.585400","73.712500"
"1000000032","Riverside Lodge","4.70","A cozy lodge by the riverside",4,"12000.00","Available",2,2,1,4,"12:00","10:00",True,True,"Moderate","HST0000022","1818, Riverfront Drive","Rishikesh","Uttarakhand","India","249201","30.086900","78.267600"
"1000000048","Simple Lodgings","3.90","Simple and comfortable lodgings for solo guests",5,"1450.00","Available",1,1,1,2,"12:30","10:30",False,False,"Moderate","HST0000018","505, Lodgings Street","Varanasi","Uttar Pradesh","India","221001","25.317600","82.973900"
"1000000044","Budget Single Room","4.00","A budget-friendly single room for solo travelers",5,"1500.00","Available",1,1,1,2,"12:00","10:00",False,False,"Moderate","HST0000024","101, Budget Street","Jaipur","Rajasthan","India","302001","26.912400","75.787300"
"1000000009","Lakefront Cottage","4.90","A charming cottage overlooking the lake",2,"7000.00","Available",2,1,1,3,"13:00","11:00",True,True,"Flexible","HST0000009","101, Lakeside Avenue","Nainital","Uttarakhand","India","263001","29.380500","79.463000"
"1000000013","Luxury Penthouse","4.90","A luxurious penthouse with panoramic city views",1,"20000.00","Available",3,3,2,6,"14:00","12:00",False,True,"Strict","HST0000013","789, Skyline Avenue","Mumbai","Maharashtra","India","400001","19.076000","72.877700"
"1000000012","Riverside Retreat","4.70","A serene retreat along the river banks",4,"11000.00","Available",3,2,2,5,"12:00","10:00",True,False,"Flexible","HST0000012","303, Riverside Avenue","Rishikesh","Uttarakhand","India","249201","30.086900","78.267600"
"1000000010","Beachside Villa","4.80","A luxurious villa just steps away from the beach",3,"18000.00","Available",4,4,3,8,"14:00","11:00",False,True,"Strict","HST0000010","202, Seaside Boulevard","Puducherry","Puducherry","India","605001","11.913900","79.814500"
"1000000031","Mountainview Chalet","4.80","A charming chalet with stunning mountain views",2,"9000.00","Available",3,2,2,5,"12:30","10:30",True,False,"Flexible","HST0000021","1717, Mountain Road","Darjeeling","West Bengal","India","734101","27.036000","88.262700"
"1000000037","Forest Retreat","4.60","A peaceful retreat amidst the forest",3,"12000.00","Available",4,4,3,8,"14:00","12:00",False,False,"Flexible","HST0000017","2323, Forestview Avenue","Coorg","Karnataka","India","571201","12.337500","75.806900"
"1000000049","Traveller's Rest","4.40","A cozy spot for weary travelers to rest",5,"1750.00","Available",1,1,1,2,"11:00","10:00",False,False,"Flexible","HST0000019","606, Restful Lane","Kochi","Kerala","India","682001","9.931200","76.267300"
"1000000029","Forest Cabin","4.60","A cozy cabin nestled in the forest",2,"6000.00","Available",1,1,1,2,"11:00","10:00",True,True,"Strict","HST0000011","1515, Forestview Road","Coorg","Karnataka","India","571201","12.337500","75.806900"
"1000000016","Beachfront Bungalow","4.60","A charming bungalow with direct beach access",2,"9000.00","Available",2,2,1,4,"12:00","10:00",True,True,"Flexible","HST0000016","202, Beachside Road","Goa","Goa","India","403001","15.299300","74.124000"
"1000000003","Riverside Bungalow","4.60","A charming bungalow by the river",4,"10000.00","Available",3,3,2,6,"13:00","11:30",True,True,"Strict","HST0000003","789, River Road","Pune","Maharashtra","India","411001","18.520400","73.856700"
"1000000014","Hillside Mansion","4.80","A grand mansion nestled in the hills",3,"35000.00","Available",6,6,5,12,"15:00","12:00",False,False,"Flexible","HST0000014","456, Hillcrest Drive","Shimla","Himachal Pradesh","India","171001","31.104800","77.173400"
"1000000050","Pocket-friendly Room","4.00","A pocket-friendly option for solo stays",5,"1550.00","Available",1,1,1,2,"12:00","11:00",False,False,"Moderate","HST0000010","707, Budget Boulevard","Pondicherry","Puducherry","India","605001","11.935000","79.830000"
"1000000011","Mountain View House","4.60","A cozy house with breathtaking mountain views",2,"8500.00","Available",3,2,2,5,"12:30","10:30",True,False,"Moderate","HST0000011","101, Mountain Drive","Manali","Himachal Pradesh","India","175131","32.239600","77.188700"
"1000000008","Hilltop Retreat","4.70","A secluded retreat atop the hills",3,"12000.00","Available",3,3,2,6,"13:00","11:30",True,False,"Flexible","HST0000008","789, Hilltop Road","Darjeeling","West Bengal","India","734101","27.036000","88.262700"
"1000000005","Beach House","4.90","A beautiful house near the beach",2,"6000.00","Available",2,1,1,3,"13:00","11:00",True,True,"Moderate","HST0000005","202, Beach Road","Goa","Goa","India","403001","15.299300","74.124000"
"1000000021","Seaside Chalet","4.70","A charming chalet overlooking the sea",2,"8500.00","Available",3,2,2,5,"12:30","10:30",True,False,"Flexible","HST0000021","707, Seaview Lane","Kovalam","Kerala","India","695527","8.400400","76.978200"
"1000000019","Serenity Cottage","4.60","A serene cottage surrounded by lush greenery",2,"7500.00","Available",2,2,1,4,"12:00","10:00",True,True,"Moderate","HST0000019","505, Greenview Lane","Ooty","Tamil Nadu","India","643001","11.406400","76.693200"
"1000000042","Mountainview Mansion","4.90","A luxurious mansion with stunning mountain views",3,"22000.00","Available",6,5,4,10,"15:00","12:00",False,True,"Strict","HST0000022","2828, Mountainview Boulevard","Manali","Himachal Pradesh","India","175131","32.239600","77.188700"
"1000000045","Cosy Retreat","4.20","A comfortable single room for a peaceful stay",5,"1700.00","Available",1,1,1,2,"12:00","11:00",False,False,"Flexible","HST0000025","201, Tranquility Road","Udaipur","Rajasthan","India","313001","24.585400","73.712500"
"1000000023","Riverside Cottage","4.60","A cozy cottage by the river",2,"7000.00","Available",2,1,1,3,"13:00","11:00",True,True,"Moderate","HST0000023","909, Riverside Road","Rishikesh","Uttarakhand","India","249201","30.086900","78.267600"
"1000000024","Mountain Retreat","4.70","A serene retreat amidst the mountains",3,"13000.00","Available",4,3,2,7,"14:00","12:00",False,False,"Flexible","HST0000024","1010, Mountainview Lane","Manali","Himachal Pradesh","India","175131","32.239600","77.188700"
"1000000047","Economy Stay","4.10","An economical option for solo travelers",5,"1600.00","Available",1,1,1,2,"13:00","11:30",False,False,"Flexible","HST0000011","404, Comfort Avenue","Agra","Uttar Pradesh","India","282001","27.176700","78.008100"
"1000000034","Riverside Cabin","4.50","A cozy cabin by the river",2,"6500.00","Available",1,1,1,2,"11:00","10:00",True,True,"Moderate","HST0000014","2020, Riverside Lane","Goa","Goa","India","403001","15.299300","74.124000"
"1000000040","Beachside Bungalow","4.80","A spacious bungalow just steps away from the beach",3,"20000.00","Available",5,4,3,8,"14:00","11:00",False,True,"Moderate","HST0000020","2626, Beachfront Lane","Puducherry","Puducherry","India","605001","11.913900","79.814500"
